created_at,url,full_text,user_id_str,user/location
Fri Mar 31 23:59:54 +0000 2023,https://twitter.com/aboqasdalsalmi1/status/1641953497854746626,@Ahmedmosibly @PresidentRashad @DrMaeenSaeed @IranAlhurra @Rajavi_Iran_A @Maryam_Rajavi_A كلام مرتزق مالة أي قيمة.,1440601743729987586,U.S.A
Fri Mar 31 23:59:52 +0000 2023,https://twitter.com/JayMalarkey/status/1641953489650610177,"@Gregg28131315 @Rikk_Show @KimIversenShow @emilybrooksnews Saudi Arabia hates Iran. Why not arm them? Oh, you love Iran, don't you? Cowardnadians do love terrorists.",1105287791858995200,"Minnesota, MN"
Fri Mar 31 23:59:36 +0000 2023,https://twitter.com/_iran__dokht/status/1641953420159352837,@Galaxy___99 @se3ot 🤣🤣,1533345441680707584,"Utah, UT"
Fri Mar 31 23:59:35 +0000 2023,https://twitter.com/Arianam8r/status/1641953417252814848,@ali__iran_ داش آلتی,1323886732283174912,Arizona
Fri Mar 31 23:59:24 +0000 2023,https://twitter.com/agahi_iran/status/1641953371341856768,@validsource20 جهل مقدس برای عقب مانده نگه داشتن جوامع یک امر ضروری است! بنابراین دین مهمترین ابزار برای استثمار یک جامعه جهان سومی هست !,1629217058742276097,"Tennessee, TN"
Fri Mar 31 23:59:17 +0000 2023,https://twitter.com/Mohd_S_Hussain/status/1641953341042475011,"Indian Celebrities talked about #BlackLivesMatter, they talked about women in Iran and Afghanistan.

But the same people don't dare to say a few words about the anti-Muslim violence happening every day in India!",1383755496503476224,"Rhode Island, RI"
Fri Mar 31 23:59:06 +0000 2023,https://twitter.com/iran_1323/status/1641953297626984449,"@Paniz_Parrizad @lmeTQRsTuBl89CI اگر من بودم میریدم بهت کسکش 
ریدم تو قبر ننت",1382039485240766471,us
Fri Mar 31 23:59:02 +0000 2023,https://twitter.com/mahdi__313_iran/status/1641953279490899975,"🇮🇷🌹🇮🇷🌹🇮🇷🌹🇮🇷🌹🇮🇷🌹🇮🇷
#آری https://t.co/HyVPNEKOCl",1636305252088463362,AZ US
Fri Mar 31 23:58:59 +0000 2023,https://twitter.com/bg1381/status/1641953266773704705,"@iran_vdt درود اشکان گرامی 🌹
قبلا فالوتون کردم❤️❤️",1586127547690950656,"Kansas, KS"
Fri Mar 31 23:58:50 +0000 2023,https://twitter.com/AVelturo/status/1641953230643929088,"So Russias best buddies are China 🇨🇳 India 🇮🇳 Egypt 🇪🇬 Iran 🇮🇷 Saudi Arabia and Turkey 🇹🇷 no surprises there.
#Russia #India #Egypt #Turkey #Iran #SaudiArabia #China  #USA #NATO #NATOAllies #PutinWarCriminal 
https://t.co/Vr13dBwqHi",1326353263357255680,UT
Fri Mar 31 23:58:49 +0000 2023,https://twitter.com/_iran__dokht/status/1641953225166168064,@Biii_taam 💀,1533345441680707584,Indiana
Fri Mar 31 23:58:46 +0000 2023,https://twitter.com/firebird_iran/status/1641953210356080641,@SayedHassan853 @fa_abv @Farzadseifii همه مدلی دارن https://t.co/zyqLkUBESi,520352547,"Las Vegas, Nevada"
Fri Mar 31 23:58:39 +0000 2023,https://twitter.com/MRTZ8666/status/1641953183516729348,@IndusIsPakistan @BehdinEran Nope Syeds are still a minority in Shia nations like Iran and Azerbaijan less then 1% are Syeds if every one could keep the name the population would be huge .,1457459296434737156,us
Fri Mar 31 23:58:38 +0000 2023,https://twitter.com/yosukeyanase/status/1641953179599540224,"""Italy is the first government to ban ChatGPT as a result of privacy concerns. In China, North Korea, Russia and Iran, the service is unavailable because OpenAI decided not to make it accessible.""  https://t.co/JqhvoIJiUy",131115208,United States
Fri Mar 31 23:58:31 +0000 2023,https://twitter.com/mahdi__313_iran/status/1641953150931173378,"دوازدهم فروردین روز جمهوری اسلامی گرامی بـاد
#آری https://t.co/FCzXcFvkab",1636305252088463362,"San Francisco, California"
Fri Mar 31 23:58:19 +0000 2023,https://twitter.com/a13732557/status/1641953100587040769,"@jordanbpeterson in iran 
we risking our life and chanting
زن(woman) زندگی (life)آزادی(freedom)
مرد(man) میهن(country) آبادی(welfare)
but clowns people like @AlinejadMasih and corrupt media cut our slogan to half to hijack and confiscate  our revolution.",1591731067194691585,MA
Fri Mar 31 23:58:15 +0000 2023,https://twitter.com/TheReuReu/status/1641953083142840323,"@JackPosobiec #NOTRANSZONES

Stay more than 6 feet away! They have HIV!!

Breaking NEWS!!!
Free airfare and hotel stay in saudia Arabia or Iran for any Trans person!!

Finally a government program to get behind.",1596608701552631814,United States
Fri Mar 31 23:58:06 +0000 2023,https://twitter.com/MfSetiii/status/1641953043099840514,"@Iran_News_2023 میوه های گندیده رو از سوپر میوه ها بگیرید باهاش از بسیجی و عامرین به معروف پذیرایی کنید دوس دارن 
#MahsaAmini
#IRGCterrorists",1574528354669285379,"Illinois, IL"
Fri Mar 31 23:58:05 +0000 2023,https://twitter.com/mahdi__313_iran/status/1641953039933222912,"دوازدهم فروردین روز جمهوری اسلامی گرامی بـاد
#آری https://t.co/kj60X5M4tf",1636305252088463362,us
Fri Mar 31 23:58:01 +0000 2023,https://twitter.com/Nazli519/status/1641953022849826817,"The more US sanctions Iran the country move rapidly in advance technology.
Let US continuing sanctions the country so that Iran will continue to gain more strength technologies. https://t.co/OTWWqRowbZ",908336091073302529,SC US
Fri Mar 31 23:57:53 +0000 2023,https://twitter.com/Driwkhan/status/1641952991547670534,"If this is true I strongly welcome to this decision. We also welcome trade with India , America, European countries, Afghanistan and Iran etc. Trade should be open to everyone.This is decision of trade to everyone should be at the very beginning #trade 
#Pakistan #isreal https://t.co/FkPh0nFsK4",940942191823937536,"Atlanta, Georgia"
Fri Mar 31 23:57:45 +0000 2023,https://twitter.com/maseffex/status/1641952955476905984,"@HuXijin_GT wtf ? look at your allies:

russia
iran
russia
myanmar
N korea

was your goal to make the chinese as miserable as possible ?",1419877016891904000,"Chicago, Illinois"
Fri Mar 31 23:57:43 +0000 2023,https://twitter.com/mahdi__313_iran/status/1641952948723884034,"🇮🇷🌹🇮🇷🌹🇮🇷🌹🇮🇷🌹🇮🇷🌹🇮🇷
#آری https://t.co/aUpHZ53vlY",1636305252088463362,Pennsylvania
Fri Mar 31 23:57:37 +0000 2023,https://twitter.com/iran_armi/status/1641952924413702144,جهت زنده موندن https://t.co/6CJ5eev7kH,1586174138133135362,"San Jose, California"
Fri Mar 31 23:57:34 +0000 2023,https://twitter.com/insanhaplari/status/1641952911595909123,"@jahreindota bu tip şeylerden araba koltuklarına da kaplıyorlar. düz çizgili desenli kilim tipleri daha ucuz. halı kilim üzerine basmak saçma, kutsal değerlerimizle oynanmamalı. basılacaksa tacik ya da iran halısı tercih edilmeli.",1515748522011906066,United States
