"created_at","url","truncated_full_text","user_id_str"
"Tue Nov 30 23:49:42 +0000 2021","https://twitter.com/mgalvezb/status/1465830427705315331",,"144930844"
"Tue Nov 30 23:49:24 +0000 2021","https://twitter.com/Saber99438187/status/1465830353273241613",,"1414355341505146882"
"Tue Nov 30 23:49:13 +0000 2021","https://twitter.com/EurasiaReview/status/1465830305181286408",,"21856182"
"Tue Nov 30 23:49:06 +0000 2021","https://twitter.com/dlsmith0817/status/1465830277452808193",,"2816604731"
"Tue Nov 30 23:49:02 +0000 2021","https://twitter.com/Saber99438187/status/1465830260885315589",,"1414355341505146882"
"Tue Nov 30 23:49:00 +0000 2021","https://twitter.com/OG_Mkhedari/status/1465830252526153733",,"1080217793411334144"
"Tue Nov 30 23:48:55 +0000 2021","https://twitter.com/Saber99438187/status/1465830231177113600",,"1414355341505146882"
"Tue Nov 30 23:48:50 +0000 2021","https://twitter.com/TamanishaJohn/status/1465830211631689747",,"1932163650"
"Tue Nov 30 23:48:48 +0000 2021","https://twitter.com/johnsalehprice/status/1465830200931983364",,"91831847"
"Tue Nov 30 23:48:44 +0000 2021","https://twitter.com/Saber99438187/status/1465830186067316738",,"1414355341505146882"
"Tue Nov 30 23:48:42 +0000 2021","https://twitter.com/andiseruralocio/status/1465830175178907649",,"2357565249"
"Tue Nov 30 23:48:39 +0000 2021","https://twitter.com/Saber99438187/status/1465830165041369091",,"1414355341505146882"
"Tue Nov 30 23:48:28 +0000 2021","https://twitter.com/Saber99438187/status/1465830118375448581",,"1414355341505146882"
"Tue Nov 30 23:48:23 +0000 2021","https://twitter.com/Saber99438187/status/1465830094753218563",,"1414355341505146882"
"Tue Nov 30 23:48:15 +0000 2021","https://twitter.com/Saber99438187/status/1465830062968684545",,"1414355341505146882"
"Tue Nov 30 23:48:12 +0000 2021","https://twitter.com/lavandaz/status/1465830048687034368",,"151652480"
"Tue Nov 30 23:48:10 +0000 2021","https://twitter.com/Saber99438187/status/1465830041498042372",,"1414355341505146882"
"Tue Nov 30 23:47:59 +0000 2021","https://twitter.com/ShaChocolat/status/1465829996358995971",,"491558800"
"Tue Nov 30 23:47:53 +0000 2021","https://twitter.com/Saber99438187/status/1465829970664640514",,"1414355341505146882"
"Tue Nov 30 23:47:48 +0000 2021","https://twitter.com/Saber99438187/status/1465829950041243653",,"1414355341505146882"
"Tue Nov 30 23:47:44 +0000 2021","https://twitter.com/jamasvolveran/status/1465829930982334469",,"109738464"
"Tue Nov 30 23:47:42 +0000 2021","https://twitter.com/Saber99438187/status/1465829924812513283",,"1414355341505146882"
"Tue Nov 30 23:47:35 +0000 2021","https://twitter.com/Saber99438187/status/1465829896790450188",,"1414355341505146882"
"Tue Nov 30 23:47:33 +0000 2021","https://twitter.com/purpleH2Oski/status/1465829887730761742",,"24022998"
"Tue Nov 30 23:47:23 +0000 2021","https://twitter.com/Saber99438187/status/1465829846261583873",,"1414355341505146882"
"Tue Nov 30 23:47:16 +0000 2021","https://twitter.com/shermanico/status/1465829816154968069",,"492396850"
"Tue Nov 30 23:46:56 +0000 2021","https://twitter.com/Saber99438187/status/1465829733166374913",,"1414355341505146882"
"Tue Nov 30 23:46:49 +0000 2021","https://twitter.com/Salvado57043839/status/1465829703915298825",,"1410348938775904256"
"Tue Nov 30 23:46:45 +0000 2021","https://twitter.com/RussellWJMathe2/status/1465829686974599174",,"1336833241861545988"
"Tue Nov 30 23:46:42 +0000 2021","https://twitter.com/joedoc2112/status/1465829672298684425",,"22495070"
"Tue Nov 30 23:46:35 +0000 2021","https://twitter.com/Saber99438187/status/1465829645266432003",,"1414355341505146882"
"Tue Nov 30 23:46:34 +0000 2021","https://twitter.com/mpolodelara/status/1465829639314677762",,"822784864374112257"
"Tue Nov 30 23:46:30 +0000 2021","https://twitter.com/Saber99438187/status/1465829624026476549",,"1414355341505146882"
"Tue Nov 30 23:46:25 +0000 2021","https://twitter.com/Saber99438187/status/1465829600798429188",,"1414355341505146882"
"Tue Nov 30 23:46:19 +0000 2021","https://twitter.com/Saber99438187/status/1465829577050238976",,"1414355341505146882"
"Tue Nov 30 23:46:18 +0000 2021","https://twitter.com/Karla_Karrera/status/1465829571249557504",,"129903624"
"Tue Nov 30 23:46:14 +0000 2021","https://twitter.com/Saber99438187/status/1465829557118844929",,"1414355341505146882"
"Tue Nov 30 23:46:11 +0000 2021","https://twitter.com/Jack2925_/status/1465829544154308609",,"1266900115861704705"
"Tue Nov 30 23:45:35 +0000 2021","https://twitter.com/Susan_EKP/status/1465829390919602182",,"902418988784906241"
"Tue Nov 30 23:45:34 +0000 2021","https://twitter.com/Saber99438187/status/1465829389833318401",,"1414355341505146882"
"Tue Nov 30 23:45:34 +0000 2021","https://twitter.com/OG_Mkhedari/status/1465829387950034946",,"1080217793411334144"
"Tue Nov 30 23:45:34 +0000 2021","https://twitter.com/WilliamSalasC/status/1465829387572551692",,"196001676"
"Tue Nov 30 23:45:26 +0000 2021","https://twitter.com/nonsensetuits/status/1465829355679109127",,"519185109"
"Tue Nov 30 23:45:19 +0000 2021","https://twitter.com/Saber99438187/status/1465829325555519494",,"1414355341505146882"
"Tue Nov 30 23:45:16 +0000 2021","https://twitter.com/MeSeok3/status/1465829312133804033",,"1354478702663507971"
"Tue Nov 30 23:45:14 +0000 2021","https://twitter.com/Saber99438187/status/1465829305192263680",,"1414355341505146882"
"Tue Nov 30 23:45:12 +0000 2021","https://twitter.com/Sham_sia/status/1465829296157741064",,"541885411"
"Tue Nov 30 23:45:09 +0000 2021","https://twitter.com/Saber99438187/status/1465829282681348099",,"1414355341505146882"
"Tue Nov 30 23:45:08 +0000 2021","https://twitter.com/ernestodelaser1/status/1465829280101781506",,"1123582417"
"Tue Nov 30 23:45:00 +0000 2021","https://twitter.com/FDD_Iran/status/1465829246908223494",,"2485701836"
"Tue Nov 30 23:44:32 +0000 2021","https://twitter.com/Saber99438187/status/1465829128960159751",,"1414355341505146882"
"Tue Nov 30 23:44:29 +0000 2021","https://twitter.com/Ajansev2011/status/1465829116532473859",,"617941747"
"Tue Nov 30 23:44:27 +0000 2021","https://twitter.com/Saber99438187/status/1465829108248715265",,"1414355341505146882"
"Tue Nov 30 23:44:23 +0000 2021","https://twitter.com/Saber99438187/status/1465829088212533248",,"1414355341505146882"
"Tue Nov 30 23:44:06 +0000 2021","https://twitter.com/yugoslav_luka/status/1465829020558405643",,"1317515484145831942"
"Tue Nov 30 23:44:01 +0000 2021","https://twitter.com/Javier95389988/status/1465828998534082561",,"1280220623550255105"
"Tue Nov 30 23:44:00 +0000 2021","https://twitter.com/ToiletGuru/status/1465828994809401349",,"1945473654"
"Tue Nov 30 23:43:55 +0000 2021","https://twitter.com/yugoslav_luka/status/1465828973196324866",,"1317515484145831942"
"Tue Nov 30 23:43:48 +0000 2021","https://twitter.com/Iran_be_freed/status/1465828944310112260",,"1419875265094823939"
"Tue Nov 30 23:43:43 +0000 2021","https://twitter.com/Saber99438187/status/1465828922998861826",,"1414355341505146882"
"Tue Nov 30 23:43:36 +0000 2021","https://twitter.com/GabrielDeledda/status/1465828891218567180",,"1192991094499201024"
"Tue Nov 30 23:43:35 +0000 2021","https://twitter.com/PaperMa_Shay/status/1465828887372435463",,"117578356"
"Tue Nov 30 23:43:28 +0000 2021","https://twitter.com/Saber99438187/status/1465828860243681289",,"1414355341505146882"
"Tue Nov 30 23:43:17 +0000 2021","https://twitter.com/AnatSultanDadon/status/1465828815205187589",,"249334416"
"Tue Nov 30 23:43:12 +0000 2021","https://twitter.com/TobyDersh/status/1465828791796715527",,"3129033749"
"Tue Nov 30 23:43:07 +0000 2021","https://twitter.com/MontrosePatch/status/1465828772536590341",,"211265014"
"Tue Nov 30 23:42:53 +0000 2021","https://twitter.com/ArizonaFreeMan1/status/1465828711748362240",,"1426908109885165568"
"Tue Nov 30 23:42:39 +0000 2021","https://twitter.com/ScythianUnborne/status/1465828653418221569",,"2227726056"
"Tue Nov 30 23:42:23 +0000 2021","https://twitter.com/veravelfalsa/status/1465828587374878734",,"767412426442698752"
"Tue Nov 30 23:42:02 +0000 2021","https://twitter.com/IRAN_MARD/status/1465828497407029255",,"103540224"
"Tue Nov 30 23:41:50 +0000 2021","https://twitter.com/vali_nasr/status/1465828447201243139",,"48906364"
"Tue Nov 30 23:41:32 +0000 2021","https://twitter.com/EnergizeNewDay/status/1465828373117259783",,"1316289856406863872"
"Tue Nov 30 23:41:18 +0000 2021","https://twitter.com/roni_baneis/status/1465828312438263809",,"814035011305406464"
"Tue Nov 30 23:40:50 +0000 2021","https://twitter.com/Bobsmit74195227/status/1465828198587920388",,"1456734821929996290"
"Tue Nov 30 23:40:46 +0000 2021","https://twitter.com/KarbassiKeyhan/status/1465828180548149254",,"1148003507921833984"
"Tue Nov 30 23:40:29 +0000 2021","https://twitter.com/antoniovalleni1/status/1465828108175560712",,"581341341"
"Tue Nov 30 23:40:09 +0000 2021","https://twitter.com/JanetsGoodNews/status/1465828023605895176",,"31237315"
"Tue Nov 30 23:40:00 +0000 2021","https://twitter.com/pablosf72/status/1465827985995575301",,"2975141240"
"Tue Nov 30 23:39:22 +0000 2021","https://twitter.com/Bieberbruch/status/1465827827387883530",,"2852515612"
"Tue Nov 30 23:39:15 +0000 2021","https://twitter.com/PlantTrucia/status/1465827799692939268",,"1280885680831332353"
"Tue Nov 30 23:39:08 +0000 2021","https://twitter.com/perece_renace/status/1465827770554933254",,"1380599437215547392"
"Tue Nov 30 23:38:42 +0000 2021","https://twitter.com/HamdaniSameer/status/1465827661171892229",,"1278249340260110338"
"Tue Nov 30 23:38:10 +0000 2021","https://twitter.com/carlosinsfranpy/status/1465827523795636226",,"2857182325"
