,url,full_text,user_id_str,truncated_full_text,month,day,year
3120,https://twitter.com/LetsGoBr0ndan/status/991104731111096320,Because this Liddle Bastard authored the Corker-Carbin amendment that lowered the Senate threshold for approval.  Bob Corker Says Netanyahu Provided ‘Nothing New’ in Iran Speech | Breitbart https://t.co/IhgOgQjbdx,451508512,,Apr,30,2018
3121,https://twitter.com/mynropmail/status/991104730935037953,@PoliticalShort Not. One. Thing. All Obama cared about was him being known as the president that denuclearized Iran no matter what it (literally) cost. I'm no Trump and even *I* could tell Obama/Kerry was giving away the store just to get a deal signed.,3385929795,,Apr,30,2018
3122,https://twitter.com/FrankHilzerman/status/991104724601573376,"En concreto, aún no hay muchos detalles sobre el ataque de anoche contra dos bases iraníes en el norte de Siria. No se sabe quién lo realizó, ni se sabe cómo se realizó: Irán niega los muertos, pero mantiene silencio sobre el ataque, lo mismo Siria (hilo)",16592908,,Apr,30,2018
3123,https://twitter.com/BobDavis96/status/991104719484477441,"What do Israel's accusations mean for the Iran nuclear deal?
https://t.co/OluHjibLxP",3102669979,,Apr,30,2018
3124,https://twitter.com/WillMcgarvey/status/991104715877318656,What Happens if Trump Pulls Out of the Iran Nuclear Deal?  https://t.co/UBCwwIGlGX,831752963848810496,,Apr,30,2018
3125,https://twitter.com/HydraMarkets/status/991104703542022144,Iran is Trumps next challenge https://t.co/QrYlkgl7jU,3042226101,,Apr,30,2018
3126,https://twitter.com/nhawk52/status/991104702086598656,"@realDonaldTrump Iran POTUS, gots drop that deal!",247548781,,Apr,30,2018
3127,https://twitter.com/PresbyIPDivest/status/991104694201212928,What Happens if Trump Pulls Out of the Iran Nuclear Deal?  Trump becomes a war criminal again.  https://t.co/4jRel22X3A,139935806,,Apr,30,2018
3128,https://twitter.com/ChrisDixonCCN/status/991104673548505088,“Catastrophic!” – Ted Cruz releases TOUGH statement on new evidence of Iran’s lies and deceit! https://t.co/2lntVjzkA6,198222526,,Apr,30,2018
3129,https://twitter.com/rosie_luce2/status/991104671182966786,"@FoxNews @netanyahu @BretBaier @AmbDermer You guys are so full of shit that Your yes are brown!!!!!so convenient of the timing...oh by the way we made a mistake, it wasn’t Iraq, it was Iran with the nuclear weapons...when is the US going to stop fighting Israel s wars",825198218384273408,,Apr,30,2018
3130,https://twitter.com/Jerusalem_Post/status/991104657064787968,"Iran ‘has a robust, clandestine nuclear weapons program,’ White House says https://t.co/oRQusH8AOj",19489239,,Apr,30,2018
3131,https://twitter.com/judymorris3/status/991104652191191040,"Dr. Jill Stein Verified account @DrJillStein
Netanyahu pushed US to invade Iraq, falsely claiming Iraq had WMDs. Now he's trying to pull the same exact trick with Iran. Don't get fooled again by this far-right warmonger. 

#Netanhahu #Israel #NoWarOnIran #Iran",411621494,,Apr,30,2018
