"created_at","url","full_text","user_id_str"
"Thu May 31 23:34:20 +0000 2018","https://twitter.com/LouDobbs/status/1002332482069549056","#AmericaFirst- @Gen_JackKeane: Russia and China are acting mischievous, but @realDonaldTrump is the key player in these North Korea talks. He has all the leverage and he will stick to his guns. #MAGA #TrumpTrain #Dobbs https://t.co/SwV9iJOV1d","26487169"
"Thu May 31 23:39:26 +0000 2018","https://twitter.com/barnes_law/status/1002333765413187584","Uh, no. Read what he actually said. “I was going to fire Comey knowing, there was no good time to do it... I said to myself, I might even lengthen out the investigation, but I have to do the right thing for the American people."" Trump did NOT say he fired Comey ""b/c of Russia."" https://t.co/xrlaHFqU6Q","2301990517"
"Thu May 31 23:24:16 +0000 2018","https://twitter.com/SocialPowerOne1/status/1002329948944785408","Christian Taliban 'Pastor': 'I Fear More Liberals In America Than I Fear Putin In Russia’ https://t.co/nDfw0ZAbs1","1381088924"
"Thu May 31 23:56:54 +0000 2018","https://twitter.com/MeghanStabler/status/1002338158112059394","So Russia is involved in the US - North Korea talks? Is Putin playing and programming Trumps buttons on this? https://t.co/oblfT1cyz2","23598656"
"Thu May 31 23:47:27 +0000 2018","https://twitter.com/polinashch/status/1002335779950129157","smiling because Lexi saved me from the airport last night and after all that hassle I’m finally off to Russia! Thankful for my whale 🐳🖤💕 #NationalSmileDay 😁 https://t.co/CTF8gR5ETu","752228471854735360"
"Thu May 31 23:49:11 +0000 2018","https://twitter.com/SafetyPinDaily/status/1002336219240583168","Sessions' recusal from the Russia investigation was fatal for Trump || Via Salon https://t.co/SutZoO5rUU","449600949"
"Thu May 31 22:55:38 +0000 2018","https://twitter.com/TemiaBrinson/status/1002322740274221058","Russia probe has cost taxpayers nearly $17 million since Mueller’s appointment https://t.co/RZmKmhXal0","409658798"
"Thu May 31 23:45:30 +0000 2018","https://twitter.com/CFGPacific/status/1002335292592754691","With teams from Russia to Australia, Heat 3 is showcasing the fittest teams in the Pacific #PacificRegional https://t.co/5vwv1HJaR6","302270856"
"Thu May 31 23:08:23 +0000 2018","https://twitter.com/Patrici15767099/status/1002325950766317568","Russia probe has cost taxpayers nearly $17 million since Mueller's appointment https://t.co/DITQ8emSV1","2510362008"
"Thu May 31 23:41:00 +0000 2018","https://twitter.com/MindfulMajority/status/1002334159388307456","INSANE! It's almost as if Trump would prefer close ties with Russia, China, &amp; North Korea over longstanding allies like Canada, Germany, France, and Mexico. These #tariffs will only serve to harm the U.S. economy &amp; reputation. #UnfitForOffice https://t.co/JSWXKn1UUa","294991606"
"Thu May 31 22:52:32 +0000 2018","https://twitter.com/JoeMarino2017/status/1002321962897694721","@Top_Sergeant Benedict Donald.....
Making Russia Great Again https://t.co/J05gEJIr7y","931995656494907395"
"Thu May 31 23:37:52 +0000 2018","https://twitter.com/halyapuff/status/1002333369785569280","#Russia #FSB hide videos showing how they arrested and caused the death of 83-year-old #CrimeanTatar veteran #Vedzhie_Kashka
https://t.co/tBAFzBJS3l  
#Ukraine #FreeDegermendzhy #LetMyPeopleGo  #Mejlis https://t.co/yuvJyHo9QP","2247128588"
"Thu May 31 23:57:02 +0000 2018","https://twitter.com/hrkbenowen/status/1002338192232796160","Mueller's Russia Probe Has Cost $16 Million So Far | https://t.co/X723ZRLvH7 https://t.co/VyQVsgXWOE","542962969"
"Thu May 31 23:29:19 +0000 2018","https://twitter.com/InvestigateRU/status/1002331216933076992","""If successful, its efforts could serve as a guide for other elections, including the US mid-terms in November.”

How Sweden is preparing for Russia to hack its election https://t.co/yBLgmpxjTm","3924002953"
"Thu May 31 23:11:55 +0000 2018","https://twitter.com/RussianEmbassyC/status/1002326838872498176","#Babchenko ""death simulation"" is textbook example of poorly staged provocation, like MH-17 or ""Skripal case"", hastily taken by Russophobes to blame Russia to their own embarrassment. https://t.co/aOrmYx8E5W","475954041"
"Thu May 31 22:53:20 +0000 2018","https://twitter.com/Dr_Sharabi/status/1002322163121246208","Trump says he wasn't warned in 2016 about Russia threats. He was.

https://t.co/7YLrJG4Qmi","2988785197"
"Thu May 31 23:14:47 +0000 2018","https://twitter.com/funder/status/1002327562419306497","Top Photo: Rudy Giuliani with Russian Foreign Minister Sergey Lavrov in Moscow, Russia, 2004

Bottom Photo: Donald Trump with Russian Foreign Minister Sergey Lavrov in the Oval Office, 2017

If Mueller wasn't investigating Rudy, he wouldn't be doing his job. #TrumpLeaks #FireRudy https://t.co/eB1sfIP1Nk","14247236"
"Thu May 31 23:42:08 +0000 2018","https://twitter.com/Whippenz/status/1002334445347586048","@Bornabrit1 The #Russia Investigation Must Proceed Unimpeded, And All (#Trump) Efforts To Derail It Are Unacceptable

Please Sign
Agreeing #Mueller’s Investigation Must Proceed

PLS✍🏻➕RT
➤➤https://t.co/AU94Z7w2ml

https://t.co/uNrG0ttws6
#TheResistance #FBR","361902109"
"Thu May 31 23:27:38 +0000 2018","https://twitter.com/Pismo_B/status/1002330794621194240","Mueller’s Russia probe has cost nearly $17M!!!","779476491092434944"
"Thu May 31 23:32:53 +0000 2018","https://twitter.com/fightpublicist/status/1002332115797774336","M-1 Challenge 93 weights &amp; pictures from Russia &amp; Joe ""Diesel"" Riggs explains his long, costly journey from America to Russia for his title fight #MMA #M1Global #M1Challenge93 @M1Global @M1GlobalNews @VFinkelchtein @Fitetv https://t.co/jIEeFWk5y9 https://t.co/x27pjbaso1","246981329"
"Thu May 31 23:17:24 +0000 2018","https://twitter.com/AdamsFlaFan/status/1002328221336199168","'Oh for Pete’s sake': Even Fox News' Brit Hume is exasperated by Trump's latest lie about Russia probe https://t.co/NHdyjvRvwT","87957969"
"Thu May 31 23:16:46 +0000 2018","https://twitter.com/JillWineBanks/status/1002328061717729280","NYT: Fmr. Acting FBI Director McCabe Feared Comey Was Fired Over Russia Investigation  https://t.co/MUTG5rcxjZ","454071012"
"Thu May 31 22:58:28 +0000 2018","https://twitter.com/JeffytheThoyd/status/1002323455625322496","@Shakestweetz The allies of the U.S. have been patient; but this is a sure sign that patience is running out. Trump is intentionally dividing the west for Russia - that is a foregone conclusion for anyone on the outside looking in.","926291551663292416"
"Thu May 31 23:21:01 +0000 2018","https://twitter.com/NathanLerner/status/1002329130686283776","An analysis of Fox News found the network has avoided covering the Russia scandal, Robert Mueller, and Stormy Daniels.

Instead they focus on Hillary Clinton, national anthem kneeling, immigration, and terrorism.

Fox News is state-run propaganda.
https://t.co/Dw8pSHR8Mc","755677202"
"Thu May 31 23:36:45 +0000 2018","https://twitter.com/WstLondonGarden/status/1002333090944094209","#FunFact: #Russia’s Peter-the-Great used to #tax people with #beards to try encourage a more “modern” appearence for his country. Or possibly because #BeardedMen that did not pay required charge would soon be caught in a #BaldFacedLie. https://t.co/1JfyCBf9FV","2545576855"
"Thu May 31 23:37:14 +0000 2018","https://twitter.com/moscow_project/status/1002333211270238209","Steve Bannon says the quiet part out loud: If Rod Rosenstein doesn’t turn over the Justice Department’s files regarding the Russia investigation, Trump may fire him. https://t.co/P663xcSwzs","887726090508283909"
"Thu May 31 23:43:01 +0000 2018","https://twitter.com/aircanada_ar/status/1002334667146657792","Vamos Argentina!! Control Tower of Ezeiza Airport greeting Argentina's Soccer National Team before taking off in its way to the World Cup in Russia! https://t.co/JqNVbA9JUw","3545315475"
"Thu May 31 23:32:14 +0000 2018","https://twitter.com/docrocktex26/status/1002331954325401600","The bigot wants to see him/herself on the big screen and in the WH. This is how a reality TV con artist got 62 million votes, with or without help from Russia. When you give bigotry a platform, don’t be surprised when it steals the show.","16582131"
"Thu May 31 23:31:43 +0000 2018","https://twitter.com/BrentDJensen/status/1002331823572045825","Here's a handy 45 sec clip of @realDonaldTrump saying he fired Comey because of Russia:

https://t.co/T9yo86q55v https://t.co/WEw3jlcUrP","316232122"
"Thu May 31 23:56:52 +0000 2018","https://twitter.com/m_suchkov/status/1002338149861941248","#Malaysia declares #Russia not clearly responsible for downing MH17 https://t.co/0UYPthTcPD","3031094073"
"Thu May 31 23:16:56 +0000 2018","https://twitter.com/jilevin/status/1002328100921860106","Trump says he wasn't warned in 2016 about Russia threats. He was. https://t.co/Eg9j9BTryf","24733117"
"Thu May 31 23:26:18 +0000 2018","https://twitter.com/david_hemond/status/1002330458649133057","Hey Russia if you’re listening. Hi Donny. Let me guess, by phony witch hunt you mean that spygate conspiracy you made up?  Am I right? But that’s always puzzled me because if you didn’t collude with the Russians, that “spy” would report you as innocent. I thought you’d like that? https://t.co/nHyr5wXZfQ","809769590435758080"
"Thu May 31 23:25:42 +0000 2018","https://twitter.com/playintheflop/status/1002330307817664512","@Neumie77 @DineshDSouza With that said why would Russia collude and back Trump and not Clinton who would do nothing to interfere with Iran. Your puzzle pieces are not fitting!!","1154846484"
"Thu May 31 23:04:50 +0000 2018","https://twitter.com/Ellahbie/status/1002325055521648640","Proof #RussiaGate was little more than a partisan explanation for uber-establishment candidate HRC's loss to an orange carnival barker. 

WTF, Mark Warner? Top Senate Intel Dem wants to wind down Russia probe this year. https://t.co/nTy73Pw9xG via @thedailybeast","105947980"
"Thu May 31 23:26:22 +0000 2018","https://twitter.com/adetolaov/status/1002330476458192896","U.S #tariffs go into effect at midnight on #metals imported from the U.S' closest allies - the E.U, Canada &amp; Mexico. Retaliatory trade moves have been announced by allies. 

Earlier tariff targets - China, Russia &amp; Turkey have also prepared similar retaliation measures 

#Trade","73802763"
"Thu May 31 23:41:10 +0000 2018","https://twitter.com/kstreet111/status/1002334201180454912","Clapper: Russia eminently successful in the election of 2016 https://t.co/WUs9SDlcyQ via @msnbc","3074470992"
"Thu May 31 23:13:10 +0000 2018","https://twitter.com/RubyNSales/status/1002327153197928448","Why would Trump pick a trade war that  destroys USA's relationships with allies, isolating it and weakening its power in the world? When placed alongside his other negative acts toward USA while courting Russia the question is for whom is he caddying","142626119"
"Thu May 31 23:51:37 +0000 2018","https://twitter.com/shilkytouch/status/1002336832166612993","There's plenty of evidence that Trump sought to block the Russia probe, but it will take more than that to bring him down (by James Risen) https://t.co/0VBqQuE1V2","14921341"
"Thu May 31 23:25:23 +0000 2018","https://twitter.com/RussiaUN/status/1002330228771950592","#Russia supports the main approaches of #SecretaryGeneral @antonioguterres to the UN Management reform. It is necessary to maintain a central role of Member States in the sphere of the allocation of financial and human resources of the @UN. https://t.co/FxNXNlEkRt","347443535"
"Thu May 31 23:55:38 +0000 2018","https://twitter.com/OverPatriarchy/status/1002337843132358657","@laplante_troy @feefm21 @stack1975 @BigMedicine @AndrewScheer Americans will be paying a steep price for their unhinged President’s actions and it will be their wallets not his.. he is more interested in himself and ego than the people he serves. When NK, and Russia are more important than his allies it won’t serve the American people","274743250"
"Thu May 31 23:59:11 +0000 2018","https://twitter.com/midclassmoderat/status/1002338732899385344","@Spatula8 @maxwelltani Also. The trump pardon is making sense now, when his wife is openly comparing Gov. Rod prosecution to the trump/Russia investigation. Transparently corrupt.","981867829"
"Thu May 31 22:59:32 +0000 2018","https://twitter.com/TomthunkitsMind/status/1002323723930755074","Actually ur stupid ass said pull out of Syria
2nd u told Russia to get ready, so they did &amp; hid assets
3rd ur causing more chaos than fixing any problem.
4th u have no plan or strategy for Syria 
5th we all know u can't just fire off missiles this time.
https://t.co/QXRbECQPkI …","289118612"
"Thu May 31 23:10:03 +0000 2018","https://twitter.com/sunvalleyid/status/1002326369324285952","The power of Twitter. I'm glad that he was released promptly and able to continue his fight against Russia and fighting for justice for Sergei Magnitisky. https://t.co/plCIjwpie6","56310925"
"Thu May 31 23:19:43 +0000 2018","https://twitter.com/rcooley123/status/1002328803572633600","Compare US mass shootings and gun control to Germany, China, Russia, Switzerland and Australia — Quartz https://t.co/tGefwxmCpj","172867574"
"Thu May 31 23:56:52 +0000 2018","https://twitter.com/11thHour/status/1002338149719265281","Trump tweeted today, ""I never fired James Comey because of Russia!"" But just over a year ago he said he did. On TV. To @NBCNews. Here's the clip. Learn more: https://t.co/7JX4AJfXhC #11MSNBC https://t.co/b8H9QxoB3y","771388593130483712"
"Thu May 31 23:53:53 +0000 2018","https://twitter.com/CourageCA/status/1002337398666285056","It’s clear that @DevinNunes cares more about the Russia than the voters in his district. In 2018, we have the power to elect representatives that actually represent the values and the voters in their districts. https://t.co/faeHQEOmME","16535694"
