created_at,ulr,full_text,user_id_str,user/location
Sun Sep 30 23:15:34 +0000 2018,,"@RusEmbUSA @Poland @mfa_russia @RussianEmbassyC @UKinUSA @franceintheus @ItalyinUS @GermanyinUSA @CzechEmbassyDC @SlovakEmbassyUS @PolishEmbassyUS @HungaryinUSA So, who declared war on Germany when the Reich invaded Poland and who was it that allied with the Nazis and joined them in lawless slaughter, even executing Polish Army Officer POWs in the Katyn Forest?",542081259,"New York, NY"
Sun Sep 30 22:07:01 +0000 2018,,@HuffPost some golf game with the chump. he was promised something or the chump has something on him...or russia gave him loads of cash. he is now just a weasel and history will show him in a bad light.,3160538850,OR
Sun Sep 30 22:52:21 +0000 2018,,"@TarasKuzio: pro-Kremlin political forces will not achieve revenge in Ukraine's 2019 elections because Putin's war has made Russia ties toxic while Moscow's occupation of Crimea and eastern Ukraine has disenfranchised large numbers of pro-Russia voters
 
https://t.co/ZVvGpvykvO https://t.co/Lhrt14c2Qi",3301937067,"Virginia, VA"
Sun Sep 30 23:57:49 +0000 2018,,@Kimm_Briggs_7 @matthewamiller Which the fame president constantly criticizes AND calls name! He has managed to fire Most of the career agents that were in on the russia investigation feom the beginning! WHY?,539507024,MT
Sun Sep 30 22:07:05 +0000 2018,,"@andrewbensonf1 No problem with team orders. It's the hypocrisy of the British press - Austria 2002 vs Russia 2018 &amp; Suzuka 90 &amp; Adelaide 94 - all should be condemned. For blue-eyed boys like Senna &amp; Hamilton- a hesitant critique. For Schumacher, it's unequivocal. #RussianGP #Formula1 #F1",58194459,"Michigan, MI"
Sun Sep 30 22:24:41 +0000 2018,,"@GOP @mercedesschlapp The @GOP are pathetic.

The Russia Probe is a witch hunt even though it has led to convictions and guilty pleas.

Dems are assassinating Kavanaugh’s character even though parts of his testimony were false and they found Ford’s testimony that he sexually assaulted her credible",797542431789088772,"Idaho, ID"
Sun Sep 30 22:11:15 +0000 2018,,@kylegriffin1 I sort of blame Comey for the email thing just before the election that got Trump elected. When he should have been bringing up Russia.,983033080096030720,MA US
Sun Sep 30 22:06:32 +0000 2018,,"@OliverMediaUK @BathLabourParty It was shown on Russia Today, but not our news channels! You should be able to view it online.",219266194,us
Sun Sep 30 22:40:39 +0000 2018,,"@LouiseMensch @RusEmbUSA @Poland @mfa_russia @RussianEmbassyC @UKinUSA @franceintheus @ItalyinUS @GermanyinUSA @CzechEmbassyDC @SlovakEmbassyUS @PolishEmbassyUS @HungaryinUSA @US_SOCEUR @RAFMildenhall They just love this game. If the good guys fail to stop the bad guys and they still get caught later on, they just pin all the blame on those who failed to stop them immediatly",801031589639651328,Arkansas
Sun Sep 30 22:19:45 +0000 2018,,Oh way to make me feel guilty about going away again 🐱😥💔 Lovely couple of days at home covering Russia remotely. Early start tomorrow to fly to Japan 🇯🇵✈️ #catsofinstagram… https://t.co/VGXj1iVdez,102076372,"South Dakota, SD"
Sun Sep 30 22:43:11 +0000 2018,,@Elfwine So sorry! I'll check into Russia too!,920026885706231808,Virginia
Sun Sep 30 23:33:34 +0000 2018,,@DenisonBe @profmusgrave I think the odds of a US war with Russia or China being an omnishambles on both sides ending with a stalemate after the belligerents humiliatingly shit themselves are generally underrated.,899825822072270849,NH US
Sun Sep 30 23:33:09 +0000 2018,,"@RusEmbUSA @Poland @mfa_russia @RussianEmbassyC @UKinUSA @franceintheus @ItalyinUS @GermanyinUSA @CzechEmbassyDC @SlovakEmbassyUS @PolishEmbassyUS @HungaryinUSA What about the criminal annexation of Poland, the Baltic States? What about the Molotov-Ribbentrop Pact? What about Bessarabia? What about the Iron Curtain? What about the invasion do Czechoslovakia? Oh yea they apparently didn’t happen.",816039689127739392,us
Sun Sep 30 23:51:05 +0000 2018,,"@debbieantonelli @Catchin24 @usabasketball @dawnstaley @LynxCoachReeve @JenRizzotti The Soviet Union and Russia are NOT the same thing Deb. Soviet team combined best players of Russia, Ukraine, Latvia, Lithuania etc. Russia has never won a WC.",471733032,OK US
Sun Sep 30 03:28:50 +0000 2018,,"Russian Government has started a new ticket vending machine at Metro Station, Moscow...  30 sit-ups and get a ticket. It's not about money , but it shows how careful the Government is about the health of the people. https://t.co/QKh9pqgwPC",715558040703926272,"Illinois, IL"
Fri Sep 28 09:31:39 +0000 2018,,"Read Craig Murray's methodology: ""deny all evidence of Russian government involvement regardless of how much of a joke you end up looking"" https://t.co/Ox2NvnrVR3",394006113,"Illinois, IL"
Thu Sep 27 13:07:50 +0000 2018,,"The Russian interference narrative seems to have resulted in escalating control over access to information, both through the U.S. government directly, and through large corporations with sizable military or surveillance contracts with the U.S. government.

Probably a coincidence.",2374745089,RI
Mon Sep 24 21:35:02 +0000 2018,,Donald Trump Jr. reportedly knew he was getting dirt on Clinton from ‘Russian government’ https://t.co/QLRxidRqzm,3334843313,IL US
Wed Sep 26 14:09:48 +0000 2018,,@DonaldJTrumpJr ...says the guy that met with the hostile foreign Russian government in anticipation of getting their assistance in an election. #TraitorTot,19734412,DE
Thu Sep 27 22:51:21 +0000 2018,,"Russia, St. Petersburg: Anglo-American School of St. Petersburg is closed by the city, due to the Russian government's ordered closure of the U.S. Consulate General, effective March 31,
https://t.co/c56XBJ3Jq4 https://t.co/6YuzuSTVyQ",4018307595,U.S.A
Mon Sep 24 23:51:56 +0000 2018,,"If press reports are accurate, the Syrian government’s purchase of Russian S-300 air defense missiles is a significant escalation by the Russians, and we hope they reconsider.",118756393,"Washington, WA"
