created_at,url,full_text,user_id_str,user/location
Thu Apr 30 23:22:17 +0000 2020,https://twitter.com/hxhassan/status/1256000953163157506,"The symbol of #Assad regime’s corruption, Assad’s cousin, does something unheard of: he goes live on Facebook to discuss recent news that Assad, with pressure from Russia, seized cousins’ assets to get them to pay $3 billions. With no access, he pleads Assad to hear him out. 
1/2 https://t.co/anoXjLEZt8",23330998,U.S.A
Thu Apr 30 23:26:46 +0000 2020,https://twitter.com/ProfMJCleveland/status/1256002081082822658,"China has now done more on Social Media to interfere in the 2020 election than Russia did in 2016.  And since it's to help Biden, that means Trump's FBI can launch an investigation into the Biden campaign, right?",765255265503543296,"Maryland, MD"
Thu Apr 30 22:42:38 +0000 2020,https://twitter.com/HillelNeuer/status/1255990976826560512,"Russia declares its candidacy for the U.N.'s highest human rights body.

Have a nice day.

https://t.co/VdqCFJkD42 https://t.co/URw2d04v0h",22434517,"Washington, WA"
Thu Apr 30 22:29:52 +0000 2020,https://twitter.com/TheWrecksRus/status/1255987763285032960,"The album has already been released in Russia.  Well, okay...each song is unique and unpredictable, but the last song completely crushed us, and we still cant put us back together again.  So Spasibo very much, boys.  Every single day was worth the wait. We ❤️ you @WeAreTheWrecks https://t.co/CR5Nz2A609",791687972345278464,GA
Thu Apr 30 23:20:33 +0000 2020,https://twitter.com/PeterSweden7/status/1256000518280957953,"Remember how the mainstream media pushed the Russia hoax for years?

I think Communist China is a much bigger threat than Russia.

What do you think?",707231479047315456,DE US
Thu Apr 30 23:38:39 +0000 2020,https://twitter.com/BVPrepHoops/status/1256005074490322950,"Eva Trushkina(6’3 F 21’ Russia) gets it done on both end of the court! Has great hands, a great finisher, and a nice stroke! Moves great and runs the floor like a guard!!! Gonna have a big season at BV!!!

@ColemanSWS @WCGHoops @thegrindsession https://t.co/Wd8Si66pAw",985247719152271360,"Memphis, Tennessee"
Thu Apr 30 23:45:47 +0000 2020,https://twitter.com/bigredwavenow/status/1256006867941130240,This was about #Flynn #Lying To Mike @VP...Not about #Russia! #PresidentT @realDonaldTrump @WhiteHouse @SecretService @GenFlynn https://t.co/scnrYOjEmF,1036103780326993920,U.S.A
Thu Apr 30 23:07:09 +0000 2020,https://twitter.com/BVPrepHoops/status/1255997145888501762,"Bella Vista Prep welcomes Eva Trushkina(6’3 F 21’ Russia 🇷🇺 ) Eva is a athletic forward that can play with her back to the basket, face up and go by defenders, and can shoot the 3!!! She is a great on ball defender and shot blocker! Excited to have her!!! https://t.co/mvTfAy87Gp",985247719152271360,United States
Thu Apr 30 22:41:28 +0000 2020,https://twitter.com/TSPSimmerDown/status/1255990680360452097,Map of Russia. On the far right is Zub's hometown. https://t.co/5ZW16THFtm,507411361,us
Thu Apr 30 23:47:39 +0000 2020,https://twitter.com/MarkGBblog/status/1256007337371992064,".@Secpompeo
You steal from Syria, starve VZLA &amp; provoke Iran
You enable genocide in Yemen; ethnic cleansing in Palestine
You poke Russia; you blame China
You fix elections &amp; you fund terror
And always you brag about how 'good' you are
You're an abomination
@POTUS @10DowningStreet",835542998926622721,"Fresno, California"
Thu Apr 30 23:38:06 +0000 2020,https://twitter.com/SerbianRambler/status/1256004935528919040,"Echo of Moscow needs to be shut down - 

This is an openly treasonous foreign outfit completely in line with western interests that is not good for Russia at all. 

The only good news is that most Russians know this and the outfit survives only through foreign donations.",1076539778777169920,U.S.A
Thu Apr 30 23:35:27 +0000 2020,https://twitter.com/AlexandraChalup/status/1256004267720282117,Comrade Flynn is always Putin’s top choice for NS advisor. Who better than an easily bought &amp; manipulated Retired LTG who flew to Moscow to celebrate the 10th anniversary of part of the Kremlin’s disinformation warfare machine while Russia attacked the US election. #Misha,797406769,"Wisconsin, WI"
Thu Apr 30 23:00:20 +0000 2020,https://twitter.com/BFT_Podcast/status/1255995428958502913,"Lindsey Graham Found It - Order Sent To DOJ After Evidence Emerges From Russia Probe

https://t.co/zfxL5qtsAC",742792681026375680,United States
Thu Apr 30 23:43:18 +0000 2020,https://twitter.com/nouveaumucha/status/1256006241870057472,"The Abolition of Serfdom in Russia, 1914 #alphonsemucha #czechart https://t.co/ueQfI1k6L4",3975585192,us
Thu Apr 30 23:56:29 +0000 2020,https://twitter.com/BudrykZack/status/1256009561095524355,"This guy tweets ""Drumpf is going to the magnetic prison from Face/Off for being Russia's boyfriend, it's only 10 am"" every day but also thinks Biden is going to lose because Hayes covered something that was already in the news, which is it
https://t.co/orQEKRYjZ7",1074694254046388225,United States
Thu Apr 30 22:35:48 +0000 2020,https://twitter.com/rich_goldberg/status/1255989256830496769,"""He is wrong!"" the Russian ambassador declares after reading the text of the resolution that Russia voted for, which clearly shows the United States has the right to snapback.

Russia, of course, can always introduce a new UNSC resolution to amend this if it no longer likes it.",932461730,us
Thu Apr 30 22:50:24 +0000 2020,https://twitter.com/kellonnn/status/1255992929912528899,"High on my to-do list:
Morrocco 
Japan 
Russia 
Skydiving 
Fishing in the Great White North 
Lake Tahoe in the summer &amp; the winter",2941581520,us
Thu Apr 30 23:20:29 +0000 2020,https://twitter.com/PopescuCo/status/1256000502350913536,"Trump's Achille's heal is healthcare, pensions and now also unemployment. Targeting China will work as well as Russia worked for Clinton, not at all. https://t.co/dibSK2UESq",369786451,Florida
Thu Apr 30 23:28:00 +0000 2020,https://twitter.com/thepagey/status/1256002391461281798,"Not quite an apologist but the article makes a good point.

We cede ground and opportunity to Russia ourselves.

We don’t have the resources or capacity for whack-em-all competition. Why do we assume they do? Can Russia be behind every inconvenient truth? https://t.co/BqfiOlwZPO",238069030,us
Thu Apr 30 23:46:20 +0000 2020,https://twitter.com/SerbianRambler/status/1256007005090742274,"The number of Covid cases in Russia is rising - 

However - western media use that as an excuse to slam the authorities for ""negligence"" and ""not doing enough"" 

Something that has completely gone over the head of many is that Russia is setting records with the amounts of tests -",1076539778777169920,North Dakota
Thu Apr 30 22:46:27 +0000 2020,https://twitter.com/RealJeffreyT/status/1255991937913384960,Exactly what Russia wanted when they helped elect Donald Trump.  A nation divided against itself cannot stand. We are weaker in more ways than one with this president.  Not said lightly.,2232446869,FL US
Thu Apr 30 22:34:00 +0000 2020,https://twitter.com/FactPoint/status/1255988802188804096,"An estimated 400,000 hectares of cannabis grows wild in the Chui Valley (Kazakhstan), supplying 93% of Russia's marijuana.",2485800751,"Atlanta, Georgia"
Thu Apr 30 23:32:44 +0000 2020,https://twitter.com/PattySm69424257/status/1256003585558622210,"I am sure Vlad is happy with his help to divide this country; kill us off with the virus by not helping with testing and protections early enough; and the other sanctions Trumps has lifted against Russia. Trump is working for Russia, not the U.S.A.",869210079643320320,United States
Thu Apr 30 23:32:52 +0000 2020,https://twitter.com/prstskrzkrk/status/1256003617183731713,"Remembering that the first Civ game's leader for Russia was Stalin, and nobody cared in 1992, so this 'as bad as Hitler' stuff is very recent",169854295,"Utah, UT"
