"created_at","url","user_id_str","full_text"
"Wed Dec 30 23:56:17 +0000 2020","https://twitter.com/43ForAmerica/status/1344432150309961729","1267953470658752512","Treason. He betrayed our troops not just once with the Russian bounties, but now again with China. #25amendment #impeach #21Days 
—
Trump was briefed that China sought to pay non-state actors to attack US forces in Afghanistan https://t.co/WMSz0MOX0F"
"Wed Dec 30 23:54:21 +0000 2020","https://twitter.com/cnnbrk/status/1344431662290104329","428333","President Trump has been briefed on intelligence that China sought to pay non-state actors to attack American forces in Afghanistan, a source says https://t.co/Mj7742vUzg"
"Wed Dec 30 23:56:14 +0000 2020","https://twitter.com/uncriticalsimon/status/1344432137295040513","35293835","Except any UK-China agreement would be much more skewed towards China."
"Wed Dec 30 23:50:24 +0000 2020","https://twitter.com/MatthewJshow/status/1344430669867442181","762932101","@JoeBiden @BidenInaugural Still need money Joe?

Thought Hunter's China deals would fill all your coffers?"
"Wed Dec 30 23:48:25 +0000 2020","https://twitter.com/JEyal_RUSI/status/1344430170934009858","555299478","It's the moment when Chairman Xi talks about China's deep respect for human freedoms"
"Wed Dec 30 23:52:48 +0000 2020","https://twitter.com/VanaT66/status/1344431272026923016","1153677971049332736","22. Slide 19. The annual world defense expenditure is one TRILLION 770 BILLION dollars.
716 BILLION DOLLARS is from USA, 224 BILLION DOLLAR from China, 191 BILLION DOLLAR from 61 ISLAMIC Countries. The ISLAMIC World is in the THIRD place. 

Then the comparative analysis follow https://t.co/QKdlDU3rYN"
"Wed Dec 30 23:36:37 +0000 2020","https://twitter.com/B0OB1E5/status/1344427199676502019","459437415","everytime i open my IG stories there is some anti-china propaganda infographic literally written by the CIA or some shit"
"Wed Dec 30 23:58:41 +0000 2020","https://twitter.com/haniashen/status/1344432752301658112","9451342","China imprisons 10 young Hongkongers for attempted escape to Taiwan | Taiwan News | 2020/12/30 https://t.co/WFcQtoiBwN"
"Wed Dec 30 23:55:05 +0000 2020","https://twitter.com/PromoterBoxing/status/1344431847422439425","83448633","#Morrison government accused of failing to 'put in hard yards' to deepen trade ties with #India | The Guardian

Australian exporters have been scrambling to find other markets after China – clamped down on imports including wine, barley, coal and seafood.  https://t.co/Vq8slGmynP"
"Wed Dec 30 23:52:56 +0000 2020","https://twitter.com/ntsafos/status/1344431306734768131","285378972","In my view, the big energy and climate story of 2020 is that major economies—Europe, China, Japan, the US—increasingly frame their ambition less in averting catastrophe and more in seizing opportunity—to invent, build, launch industries, create jobs. It’s a pivotal shift."
"Wed Dec 30 23:58:21 +0000 2020","https://twitter.com/Dr_CorbinCWong/status/1344432669640298497","764932592","Played tennis today with one of our @kctennisleague volunteers, and we were talking about @WearAtoms. @alexisohanian’s name came up, and he said he went to China with Alexis back in 2002 while at UVA. #SmallWorld"
"Wed Dec 30 23:43:55 +0000 2020","https://twitter.com/OmniaSperat/status/1344429037859471360","2559036728","@RepRickCrawford Exactly, why not the local market but Chinese?
They're not especially outstanding or cheap or something.
And buying from China is actually funding your own enemy too.
#BoycottChina"
"Wed Dec 30 23:40:03 +0000 2020","https://twitter.com/globaltimesnews/status/1344428063631826946","49616273","With China's overall containment of the coronavirus, the country's #consumption sector has recovered to near 80% pre-coronavirus levels, with new sporadic #COVID19 cases are unlikely to have server impact on the sector: expert https://t.co/jfPGeSszL4 https://t.co/qsH0cOlIxv"
"Wed Dec 30 23:55:39 +0000 2020","https://twitter.com/TedCrilly666/status/1344431990800465920","1278276135785132032","I find it mind boggling that reporters from established news outlets continue to use the word “trial” in reference to the sentencing rituals in China. 

CHINA DOESN’T HAVE TRIALS.

Hong Kong boat activists: China jails group for up to three years https://t.co/dDSX3QGxYR"
"Wed Dec 30 23:59:30 +0000 2020","https://twitter.com/SayNoToSino/status/1344432957449064450","1257878321901137920","The E.U.'s claim that China will improve it's carbon emissions levels to deal with climate change is beyond naive.

CCP are building more and more coal fired power plants not only in China but in 50 plus countries.

Most CCP industries take short cuts on pollution controls."
"Wed Dec 30 23:58:58 +0000 2020","https://twitter.com/EamonMelia/status/1344432823730638849","1008640118","China has the biggest bomb in the world to drop on the US, Just call in its debts."
"Wed Dec 30 23:44:41 +0000 2020","https://twitter.com/beegornken/status/1344429231674109952","830962864613683200","@mason_thed @EvanAKilgore @HawleyMO @Walmart Your point is incorrect.
I'll take an ""owned corrupt politician"" who believes in a Madisonian democracy over one that doesn't...I grew up believing Russia was our enemy and they still are...yet you all have pivoted to China...wonder why?🤔 Any clues?🤔"
"Wed Dec 30 23:48:10 +0000 2020","https://twitter.com/CNNPolitics/status/1344430108866654212","13850422","BREAKING: President Trump has been briefed on intelligence that China sought to pay non-state actors to attack American forces in Afghanistan, a source says https://t.co/YozYVbJ8Mh"
"Wed Dec 30 23:51:17 +0000 2020","https://twitter.com/ZakiLaidi/status/1344430889422479360","1073445313","No doubt that in not signing the #CAi  the situation in #China would have improved dramatically..."
"Wed Dec 30 23:54:02 +0000 2020","https://twitter.com/altNOAA/status/1344431581491036163","824126001936474113","This needs to be validated by corroboration and if it validates, then it's a game changer. But, I don't see it, we're too important of a trading partner to China. We need to drop Trump's tariffs and strengthen our trade relationships. 
https://t.co/VvikmOtjAR"
"Wed Dec 30 23:44:28 +0000 2020","https://twitter.com/CIA_in_China/status/1344429174266552320","1187004630602924032","@MsMelChen Chinese have been hiring white people like this for years. I’ve had friends who’ve been rented to pretend they were teachers, scientists and even the CEO of the very company that hired them, all for the prestige and extra cred that having a white guy on staff supposedly brings."
"Wed Dec 30 23:39:13 +0000 2020","https://twitter.com/AVIERN/status/1344427853794988032","35219529","@MajorPatriot @pyles_corps This goes beyond China. 
China and the UN are the Muscle and the Model
this is about total Global Domination 
based on some very sick ideas
Never ever thought i would see stuff like this.
Everything depends what happens on the 6th of Jan
For All true patriots around the world."
"Wed Dec 30 23:44:07 +0000 2020","https://twitter.com/h_rabeiy/status/1344429085838159872","4919163327","@michaeljohns Disease outbreak news 
30 May 2015

“On 29 May 2015, the National Health and Family Planning Commission (NHFPC) of China notified WHO of one confirmed case of Middle East Respiratory Syndrome Coronavirus”
They knew about this virus since 2015 but kept it secret from the world"
"Wed Dec 30 23:52:08 +0000 2020","https://twitter.com/cwebbonline/status/1344431103466119170","399178595","Trump was briefed that China sought to pay non-state actors to attack US forces in Afghanistan
https://t.co/OYK0pdtDAl"
"Wed Dec 30 23:49:45 +0000 2020","https://twitter.com/EricBeairsto/status/1344430506591531013","1232038370","@CNNPolitics Noe that it’s China, he’ll cry foul. But with Russia? Crickets and tumbleweeds."
"Wed Dec 30 23:44:58 +0000 2020","https://twitter.com/HenryChalder/status/1344429302906056707","20849147","@iSheeple1 probably the CIA, Pakistan, China for starters"
"Wed Dec 30 23:55:59 +0000 2020","https://twitter.com/Surendervarma10/status/1344432076292907009","994447156001099776","@SimranK60419840 @ameet1012 They must strive to establish Khalistan in Canada Pakistan or China whereby they are encouraged to such resolution.
If they do so, India May help them.
JAIHIND.."
"Wed Dec 30 23:46:35 +0000 2020","https://twitter.com/Grouchomarxbro1/status/1344429707824156674","1146216542536962053","@OANN Perdue outsourced jobs to China"
"Wed Dec 30 23:59:29 +0000 2020","https://twitter.com/CNNPolitics/status/1344432954714550273","13850422","President Trump has been briefed on intelligence that China sought to pay non-state actors to attack American forces in Afghanistan, a source says https://t.co/SGNv2hYuNL"
