url,created_at,user_id_str,full_text,user/location
https://twitter.com/smithanita8090/status/1245138387973148679,Tue Mar 31 23:58:19 +0000 2020,867744908,@Yamiche Please ask him why he sent 17tons of supplies to China in February and why he keeps saying there was nothing left in reserves when he took over 🙏,WV US
https://twitter.com/RealSaavedra/status/1245138393547202560,Tue Mar 31 23:58:21 +0000 2020,812135885328236551,REPORT: Coronavirus Outbreak Could Have Been Reduced By 95% If China Acted Sooner https://t.co/2WyZF9z8wW,us
https://twitter.com/TrustData2/status/1245136773690376193,Tue Mar 31 23:51:55 +0000 2020,1169649207285882880,"@GovWhitmer Thanks Gov. Whitmer for working hard &amp; pushing tRump*..

Hope they work..  CA found 170 that didn't work..
Silicon Valley Co.'s fixed them..

Chicago just rec'vd 300K surgical masks.. not the req'd N95s

2-7: 18 tons of masks, respirators went to China..

https://t.co/3whRPC0IBk","Albuquerque, New Mexico"
https://twitter.com/andymarso/status/1245136814840647681,Tue Mar 31 23:52:04 +0000 2020,37521145,"Yes, China’s #Covid_19 numbers are extremely unreliable and there’s very little utility to using them as a point of comparison. But given the lack of testing the same can be said of US numbers. And if this is what you’re most indignant about right now, get some perspective.",MI US
https://twitter.com/Carolin15161363/status/1245136885778915329,Tue Mar 31 23:52:21 +0000 2020,1041907541524049920,"Hey Meathead! It's a virus that came over here from China, after they lied and downplayed ot for weeks, that is killing people! Idiot!","Chicago, Illinois"
https://twitter.com/NormlHumanHands/status/1245138793377738754,Tue Mar 31 23:59:56 +0000 2020,83090252,"""They say China did it... but I feel like it's probably the Russians""- the lady who smokes cigarettes outside of my laundromat all day",Rhode Island
https://twitter.com/ianmastersmedia/status/1245136711719378944,Tue Mar 31 23:51:40 +0000 2020,107202682,"NOW on https://t.co/SjZyWprkgU| @jasonintrator Propaganda is Working For Trump, Helped by Coverage From the Mainstream Press| @mikehfuchs As Trump Wrecks the Home Front, Pompeo Wreaks Havoc Abroad| @mahbubani_k Author of ""Has China Won? The Chinese Challenge to American Primacy"" https://t.co/3K5EpCGfzL","Wisconsin, WI"
https://twitter.com/drwaheeduddin/status/1245137751256829952,Tue Mar 31 23:55:48 +0000 2020,451776898,"@OutsidersOnSky @BarackObama @POTUS Politicians think they are smart using terms like Carbon &amp; Climate deniers.
The CO2-AGW #ClimateHysteria activists &amp; UN #WHO socialist  bureaucrats couldn't predict China #coronavirus epidemic but claim to predict air temperature decades ahead.
People can't be fooled any more.",NM
https://twitter.com/GHOSTMONKEY99/status/1245137024992055297,Tue Mar 31 23:52:54 +0000 2020,821896445196468226,@keir_scarlett @jaggy_mince @politicususa Why won’t 1 reporter ask him why he sent multiple tons of ppe n equipment to China in February when he was telling Americans it was a dem hoax stopped at the border n will be over tomorrow (60 days ago) to now he always knew except he knows nothing zilch zero #TrumpGenocide,IA US
https://twitter.com/TkaBrake/status/1245137647711989761,Tue Mar 31 23:55:23 +0000 2020,389191604,@KatiePavlich Has China's number moved off 81k since approx. March 15th? And the MSM believes them 😐,"South Dakota, SD"
https://twitter.com/zbiotech/status/1245138686850797569,Tue Mar 31 23:59:31 +0000 2020,19717430,"c’mo already, just throw china out of this...their data isn’t reflective of reality and we should have known this to be the case...others, ie. s korea, represent the stark contrast of a country prepared by it’s government to deal with the incoming pandemic",TX
