url,full_text,created_at,user_id_str,user/location
https://twitter.com/PravinSawhney/status/1377409635750080512,"Boeing argued against Cold War 2. This will be impossible in today’s world. But, it will also be difficult for US to accept China’s Major Power relationship. So, disruptive techs war will continue, perhaps intensity. India, standing on 2 stools will fall!  https://t.co/6pbRnQpt5U",Wed Mar 31 23:57:02 +0000 2021,416882361,"Washington, District of Columbia"
https://twitter.com/RealMikeBlaze/status/1377407052742422529,"Mass adoption in Asia is real. 👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀

$kai government backed in South East Asia.
 👉🏻DYOR at @KardiaChain 

$wan backed in China. 
👉🏻DYOR at @wanchain_org 

This season is gonna go bananas 🍌 

$btc $eth $paid $ocean",Wed Mar 31 23:46:47 +0000 2021,422598782,us
https://twitter.com/landforce/status/1377406861083779073,We're getting entire 40 ft containers of packaging from China these days it's a trip.,Wed Mar 31 23:46:01 +0000 2021,2534227495,Idaho
https://twitter.com/haught4sheriff/status/1377406237050953728,"When my world is cluttered, this dufus comes in like a bull in a China shop and I honestly couldn’t be more grateful ❤️ https://t.co/AhawKQuZFZ",Wed Mar 31 23:43:32 +0000 2021,733321980905172992,IN
https://twitter.com/BlackDouglas/status/1377408597752119297,Just as well China is as balanced and clear headed as we are dazed and confused!!,Wed Mar 31 23:52:55 +0000 2021,27138454,NY US
https://twitter.com/MarciaSessler/status/1377408130854834184,"Top NATO scientist caught spying for China, gets 3 years prison https://t.co/LKv8aSoyOv via @amermilnews",Wed Mar 31 23:51:04 +0000 2021,1122222044,"New York, NY"
https://twitter.com/PressTV/status/1377407527474896897,"Trilateral Iran-Russia-China alliance growing much to dismay of US: Analyst

https://t.co/EyOrxFv8yc",Wed Mar 31 23:48:40 +0000 2021,192547775,U.S.A
https://twitter.com/Janamejayan/status/1377404729169379329,China sets sights on Middle East with Iran co-operation deal - BBC News https://t.co/1avcfYmav7,Wed Mar 31 23:37:33 +0000 2021,247507699,"Houston, Texas"
https://twitter.com/BokoMaruAppeal/status/1377407564942434306,"For my fiance's birthday, you should all check out his Youtube channel! He's made two documentaries about gay life in mainland China: https://t.co/MPivHnoOAK",Wed Mar 31 23:48:49 +0000 2021,2311052568,OH US
https://twitter.com/mpac_national/status/1377401660687884288,"It may not be in the news, but the genocide against the #Uyghurs is still happening in China. We must address it. Tomorrow @SalamAlMarayati will discuss Uyghur Muslim Persecution with Professors @GroseTimothy, Lan Chu &amp; Anthony Chase of @Occidental.

RSVP: https://t.co/ULL0G7jBCD https://t.co/u08V17gnuF",Wed Mar 31 23:25:21 +0000 2021,33741541,"San Jose, California"
