"url","user_id_str","full_text","created_at"
"https://twitter.com/EnigmaMysteries/status/1575996528774197249","2590326145","LIVE in FIVE. October Surprise, Ian, Weather Warfare, Putin, Ukraine, Israel, Iran, China, Torah Codes &amp; More...at https://t.co/q2hvl0C8Dx","Fri Sep 30 23:50:27 +0000 2022"
"https://twitter.com/CIA_in_China/status/1575996958938128384","1187004630602924032","Was America behind this #BurkinaFaso coup? Russia annexes Ukraine territory and then this on another continent in an unrelated country? Timing is curious. It’s so obvious. 😉","Fri Sep 30 23:52:10 +0000 2022"
"https://twitter.com/alexjoske/status/1575996808966197249","2655870318","China's Ministry of State Security excels at elite influence operations, and one of its earliest catches was Prime Minister Bob Hawke. A little snippet from my book Spies and Lies, out in Australia on Oct 5 https://t.co/9Z1MAWx19e https://t.co/pGI4ysyyQU","Fri Sep 30 23:51:34 +0000 2022"
"https://twitter.com/birdie_vv/status/1575993723799842816","3312613560","A friend of over 20 years recently called COVID the “China flu”.  She knows my adopted daughter is Chinese and expressed no empathy when I explained how that phrase is hurtful.  In fact she said we will have to “agree to disagree”.  Friend? Nope-all done.  Done!","Fri Sep 30 23:39:18 +0000 2022"
"https://twitter.com/MalaysiaMFA/status/1575990411990282241","2614621016","Wisma Putra extends its heartiest congratulations to the People's Republic of China on the auspicious occasion of the 73rd Anniversary of the Founding of the People's Republic of China 
🇲🇾🤝🇨🇳

#WismaPutra #DuaHala #MalaysiaChina #BilateralAffairs https://t.co/KQhqkGsYI3","Fri Sep 30 23:26:09 +0000 2022"
"https://twitter.com/asia_mobility/status/1575997986072539136","1263418475961171979","#Singapore seeing a rise in #covid19 cases related to #omicron but no extra demand on health services it seems. #pandemic #travel #business #masks #vaccines #mumbai #hongkong #china #tourism #Formula1 #F1 #SingaporeGP 
https://t.co/ksAd0TnUiu","Fri Sep 30 23:56:15 +0000 2022"
"https://twitter.com/Angry_Staffer/status/1575998246337798146","848148994102611969","@11demo11 Not even a little bit. Even China spoke out (kind of) against the annexation announcement.","Fri Sep 30 23:57:17 +0000 2022"
"https://twitter.com/lewrockwell/status/1575992638603350016","20837035","CBDCs Rising: Russia To Use Digital Ruble in Settlements With China
By Tyler Durden

https://t.co/KEJm2m0XXc","Fri Sep 30 23:35:00 +0000 2022"
"https://twitter.com/mlegareauthor/status/1575994698673532928","949024697143910400","Shanghai, 1930 - American Navy sailors of the Yangzte Patrol, mingling with local Chinese. The river gunboats were operated by America and Britain to protect their citizens and business interests in China, operating from the mid-19th century to 1941.
#China #USA #history https://t.co/DOlebHuz8f","Fri Sep 30 23:43:11 +0000 2022"
"https://twitter.com/GomidaWedi/status/1575994638820745216","1359928181751488515","After completely disregarding #AU led peace initiative &amp; invaded #Amhara, #Afar on 24 Aug 2022, TPLF loudly expressed ""war is the only choice"" in this conflict. Int community shall send clear message; ""NO MORE APPEASING""
@SecBlinken @mfa_russia @MFA_China","Fri Sep 30 23:42:57 +0000 2022"
"https://twitter.com/johndurant/status/1575989576094871552","28618036","The Russians are losing!

- buffer + land bridge to Crimea
- Azov Sea now Russian lake
- annexed majority of Ukr GDP, ~20% of pop, land
- good relations w/ India, China, Brazil, Africa, M. East
- sanctions backfired, econ turmoil in West
- Putin firmly in power, Russians support","Fri Sep 30 23:22:50 +0000 2022"
"https://twitter.com/td_port/status/1575998722215137280","414960647","If I was @LeaderMcConnell I’d be worried - sounds like trump is putting a hit out on him…

And trump referring to Mitch’s wife, and trump’s former Labor Secretary Elaine Chao as “China loving Coco Chow.”  Wow.","Fri Sep 30 23:59:10 +0000 2022"
"https://twitter.com/IanPanchevre/status/1575998530246017026","231913408","@chrislhayes And like, the overt racism.

“China loving wife. Coco chow!”","Fri Sep 30 23:58:24 +0000 2022"
"https://twitter.com/HKokbore/status/1575994800444162050","3026990185","China’s recent publicity stunt showing happy Uyghurs celebrating an Islamic holiday is a transparent attempt to proclaim that all is well in the Xinjiang region. But here, around two million Uyghurs and other Muslim minorities toil under a repressive…… https://t.co/9PGPjaMu0l","Fri Sep 30 23:43:35 +0000 2022"
"https://twitter.com/Playerinthgame/status/1575992005548597248","151552315","“China won’t side with Russia.” They’re allies. They hate us. They absolutely will. Being delusional doesn’t help us hold politicians accountable.","Fri Sep 30 23:32:29 +0000 2022"
"https://twitter.com/KrishnaPaypal/status/1575992763447148544","1437988324925313031","@Tweetputtar @sidhant China vetos Bharat UNSC position everytime","Fri Sep 30 23:35:29 +0000 2022"
"https://twitter.com/egasmb/status/1575989185827471360","1163049105049968640","Huh? No. Mongolia had first declared independence from the Qing Empire in 1911 and was never formally annexed by Russia/USSR. But lots of people in China still haven't come to terms with Mongolia's self-determination and independence... https://t.co/7QJH7i9SsA","Fri Sep 30 23:21:17 +0000 2022"
"https://twitter.com/CGTNSportsScene/status/1575998850401071105","866503271602679811","🏐2022 Women's World Champs
🇨🇳China 3-0 Czech Republic🇨🇿

China claimed 4th consecutive victory by defeating  Czech Republic 25-19, 25-22, 27-25 to take a sole lead in Pool D

Top Scorer: Li Yingying 20 points
Other Scorers: Yuan Xinyue 11 points, Wang Yunlu 10 points
#volleyball https://t.co/39fbtlA24V","Fri Sep 30 23:59:41 +0000 2022"
"https://twitter.com/CIA_in_China/status/1575997349583032321","1187004630602924032","@PhilipPreston17 @georgegalloway @MacaesBruno @Happynessmon Funny you mention Iraq. George loved Saddam and his very real chemical attacks on the Kurds.","Fri Sep 30 23:53:43 +0000 2022"
"https://twitter.com/iwucheng/status/1575998666242158592","1340835127778136066","#Jinhua of East China's #Zhejiang province will work to further open up and achieve a higher level of people-to-people and cultural exchanges over the world, according to the local government👍
https://t.co/5k7wcBpy2n https://t.co/ahfVnZFKoh","Fri Sep 30 23:58:57 +0000 2022"
"https://twitter.com/TheAthletic/status/1575994030005288960","809532994444591104","“America, Let’s Ride.” — @Kelseyplum10

Team USA faces China tonight in the 2022 FIBA Women’s World Cup Finals 🥇

🎥 @usabasketball 
https://t.co/rsvP2M2TT1","Fri Sep 30 23:40:31 +0000 2022"
"https://twitter.com/deff_jobbs/status/1575997354934947847","1419847219486806030","@zackstanton @JonahDispatch I mean, instead of ""his China loving wife"" Trump could have written ""my Secretary of Transportation""","Fri Sep 30 23:53:44 +0000 2022"
"https://twitter.com/MonsterGalaxy21/status/1575993945183555584","1457955424628477953","Hey Tamers!

Happy National Day of China to all of our followers who are celebrating today!🎉✨

Wishing you and your loved ones prosperity and peace!🎊

#congratulations #monstergalaxy #gaming #P2E https://t.co/7aoTadhDAE","Fri Sep 30 23:40:11 +0000 2022"
